,Country name,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Perceptions of corruption
1612,Spain,6.513,10.605,0.91,74.4,0.722,0.777
1613,Spain,6.457000000000001,10.618,0.9490000000000001,74.7,0.778,0.73
1614,Spain,6.502000000000001,10.488,0.935,75.0,0.7829999999999999,0.73
1821,United Kingdom,6.984,10.663,0.9790000000000001,69.9,0.922,0.39799999999999996
1822,United Kingdom,6.8020000000000005,10.699000000000002,0.97,70.46,0.838,0.498
1823,United Kingdom,6.986000000000001,10.689,0.9540000000000001,70.74,0.759,0.5479999999999999
1824,United Kingdom,6.907,10.638,0.9640000000000001,71.02,0.816,0.5589999999999999
1825,United Kingdom,7.029,10.649000000000001,0.955,71.3,0.841,0.5870000000000001
1826,United Kingdom,6.869,10.657,0.9490000000000001,71.38,0.9,0.43799999999999994
1827,United Kingdom,6.881,10.664000000000001,0.935,71.46,0.889,0.425
1828,United Kingdom,6.917999999999999,10.679,0.937,71.54,0.905,0.568
1829,United Kingdom,6.757999999999999,10.697000000000001,0.91,71.62,0.857,0.484
1830,United Kingdom,6.515,10.712,0.9359999999999999,71.7,0.833,0.456
1831,United Kingdom,6.824,10.724,0.9540000000000001,71.9,0.821,0.45799999999999996
1832,United Kingdom,7.103,10.735999999999999,0.937,72.1,0.813,0.419
1833,United Kingdom,7.233,10.743,0.9279999999999999,72.3,0.838,0.40399999999999997
1834,United Kingdom,7.157,10.751,0.943,72.5,0.8540000000000001,0.485
1835,United Kingdom,6.797999999999999,10.626,0.929,72.7,0.885,0.49
1836,United States,7.182,10.924000000000001,0.965,68.06,0.9109999999999999,0.6
1837,United States,7.513,10.933,,68.22,0.872,0.633
1838,United States,7.28,10.922,0.953,68.38,0.878,0.6679999999999999
1839,United States,7.1579999999999995,10.888,0.912,68.54,0.831,0.665
1840,United States,7.164,10.905,0.9259999999999999,68.7,0.828,0.69
1841,United States,7.115,10.913,0.922,68.68,0.863,0.6970000000000001
1842,United States,7.026,10.927999999999999,0.903,68.66,0.823,0.71
1843,United States,7.249,10.939,0.925,68.64,0.792,0.747
1844,United States,7.151,10.956,0.902,68.62,0.866,0.7020000000000001
1845,United States,6.864,10.977,0.904,68.6,0.8490000000000001,0.698
1846,United States,6.803999999999999,10.985999999999999,0.897,68.5,0.758,0.7390000000000001
1847,United States,6.992000000000001,11.001,0.9209999999999999,68.4,0.868,0.6809999999999999
1848,United States,6.882999999999999,11.025,0.904,68.3,0.825,0.71
1849,United States,6.944,11.043,0.917,68.2,0.836,0.7070000000000001
1850,United States,7.028,11.001,0.937,68.1,0.85,0.6779999999999999
